chain_id,length,source_class,ceiling,asserted,final_warrant,algebra_warrant,signature_ok,ceiling_ok,algebra_ok,prefix_monotone,relay_ops
0,6,authoritative_api,4,3,0,0,True,True,True,True,verbatim>verbatim>paraphrase>paraphrase>paraphrase
1,4,authoritative_api,4,2,0,0,True,True,True,True,paraphrase>generation>generation
2,4,untrusted_tool,1,3,0,0,True,True,True,True,verbatim>generation>extraction
3,5,untrusted_tool,1,0,0,0,True,True,True,True,generation>extraction>summary>verbatim
4,1,public_webpage,3,1,1,1,True,True,True,True,
5,1,authoritative_api,4,0,0,0,True,True,True,True,
6,5,unknown,0,2,0,0,True,True,True,True,paraphrase>summary>extraction>paraphrase
7,5,verified_document,4,4,0,0,True,True,True,True,extraction>summary>generation>summary
8,1,first_party_db,3,3,3,3,True,True,True,True,
9,3,first_party_db,3,1,0,0,True,True,True,True,generation>paraphrase
10,1,verified_document,4,1,1,1,True,True,True,True,
11,3,model_memory,1,3,0,0,True,True,True,True,summary>paraphrase
12,6,public_webpage,3,1,0,0,True,True,True,True,paraphrase>generation>generation>paraphrase>extraction
13,3,editable_source,1,1,0,0,True,True,True,True,paraphrase>extraction
14,2,public_webpage,3,1,0,0,True,True,True,True,summary
15,5,untrusted_tool,1,0,0,0,True,True,True,True,verbatim>paraphrase>paraphrase>paraphrase
16,5,untrusted_tool,1,1,0,0,True,True,True,True,generation>paraphrase>summary>extraction
17,5,public_webpage,3,4,1,1,True,True,True,True,verbatim>extraction>paraphrase>paraphrase
18,5,editable_source,1,4,0,0,True,True,True,True,generation>verbatim>paraphrase>generation
19,4,model_memory,1,0,0,0,True,True,True,True,generation>paraphrase>summary
20,4,model_memory,1,4,0,0,True,True,True,True,generation>summary>verbatim
21,3,unknown,0,0,0,0,True,True,True,True,verbatim>verbatim
22,3,first_party_db,3,3,0,0,True,True,True,True,generation>generation
23,3,model_memory,1,4,0,0,True,True,True,True,paraphrase>summary
24,3,editable_source,1,0,0,0,True,True,True,True,generation>extraction
25,1,editable_source,1,1,1,1,True,True,True,True,
26,1,authoritative_api,4,2,2,2,True,True,True,True,
27,1,untrusted_tool,1,3,1,1,True,True,True,True,
28,1,editable_source,1,2,1,1,True,True,True,True,
29,2,first_party_db,3,3,2,2,True,True,True,True,paraphrase
30,6,untrusted_tool,1,4,0,0,True,True,True,True,generation>paraphrase>summary>extraction>extraction
31,1,public_webpage,3,3,3,3,True,True,True,True,
32,4,editable_source,1,3,0,0,True,True,True,True,generation>paraphrase>paraphrase
33,4,editable_source,1,3,0,0,True,True,True,True,paraphrase>summary>paraphrase
34,4,authoritative_api,4,2,0,0,True,True,True,True,generation>summary>paraphrase
35,4,unknown,0,4,0,0,True,True,True,True,summary>paraphrase>summary
36,4,public_webpage,3,2,0,0,True,True,True,True,generation>summary>generation
37,4,untrusted_tool,1,2,0,0,True,True,True,True,extraction>summary>extraction
38,5,verified_document,4,0,0,0,True,True,True,True,verbatim>extraction>summary>generation
39,6,public_webpage,3,2,0,0,True,True,True,True,extraction>paraphrase>summary>summary>paraphrase
40,5,public_webpage,3,3,0,0,True,True,True,True,paraphrase>generation>generation>extraction
41,6,verified_document,4,4,0,0,True,True,True,True,generation>paraphrase>generation>generation>generation
42,2,untrusted_tool,1,4,0,0,True,True,True,True,generation
43,2,public_webpage,3,3,2,2,True,True,True,True,paraphrase
44,4,first_party_db,3,2,0,0,True,True,True,True,summary>paraphrase>verbatim
45,2,unknown,0,3,0,0,True,True,True,True,generation
46,1,untrusted_tool,1,1,1,1,True,True,True,True,
47,3,first_party_db,3,3,3,3,True,True,True,True,extraction>extraction
48,4,unknown,0,1,0,0,True,True,True,True,generation>generation>verbatim
49,2,public_webpage,3,0,0,0,True,True,True,True,generation
50,4,untrusted_tool,1,0,0,0,True,True,True,True,summary>verbatim>generation
51,2,public_webpage,3,0,0,0,True,True,True,True,verbatim
52,5,unknown,0,4,0,0,True,True,True,True,summary>paraphrase>generation>summary
53,1,first_party_db,3,2,2,2,True,True,True,True,
54,2,untrusted_tool,1,2,1,1,True,True,True,True,extraction
55,3,unknown,0,4,0,0,True,True,True,True,extraction>summary
56,4,editable_source,1,2,0,0,True,True,True,True,summary>paraphrase>generation
57,2,public_webpage,3,3,3,3,True,True,True,True,verbatim
58,4,editable_source,1,4,0,0,True,True,True,True,summary>summary>verbatim
59,6,editable_source,1,0,0,0,True,True,True,True,generation>extraction>verbatim>paraphrase>extraction
60,6,verified_document,4,4,0,0,True,True,True,True,verbatim>generation>generation>extraction>generation
61,5,first_party_db,3,2,0,0,True,True,True,True,summary>summary>verbatim>summary
62,1,untrusted_tool,1,4,1,1,True,True,True,True,
63,3,unknown,0,2,0,0,True,True,True,True,verbatim>generation
64,1,authoritative_api,4,4,4,4,True,True,True,True,
65,3,model_memory,1,4,0,0,True,True,True,True,generation>verbatim
66,4,untrusted_tool,1,4,0,0,True,True,True,True,paraphrase>extraction>paraphrase
67,6,verified_document,4,0,0,0,True,True,True,True,verbatim>verbatim>paraphrase>extraction>verbatim
68,6,public_webpage,3,1,0,0,True,True,True,True,verbatim>generation>summary>extraction>verbatim
69,2,editable_source,1,3,0,0,True,True,True,True,generation
70,4,untrusted_tool,1,1,0,0,True,True,True,True,generation>paraphrase>extraction
71,2,unknown,0,2,0,0,True,True,True,True,paraphrase
72,5,untrusted_tool,1,4,0,0,True,True,True,True,extraction>paraphrase>summary>verbatim
73,1,untrusted_tool,1,2,1,1,True,True,True,True,
74,5,untrusted_tool,1,1,0,0,True,True,True,True,generation>verbatim>extraction>summary
75,2,first_party_db,3,2,1,1,True,True,True,True,summary
76,5,authoritative_api,4,4,0,0,True,True,True,True,verbatim>paraphrase>generation>extraction
77,2,verified_document,4,2,2,2,True,True,True,True,verbatim
78,5,unknown,0,4,0,0,True,True,True,True,verbatim>verbatim>summary>extraction
79,4,model_memory,1,2,0,0,True,True,True,True,extraction>generation>paraphrase
80,3,authoritative_api,4,4,2,2,True,True,True,True,summary>paraphrase
81,4,editable_source,1,3,0,0,True,True,True,True,generation>extraction>paraphrase
82,1,first_party_db,3,4,3,3,True,True,True,True,
83,5,verified_document,4,2,1,1,True,True,True,True,extraction>paraphrase>extraction>verbatim
84,5,editable_source,1,1,0,0,True,True,True,True,generation>verbatim>summary>paraphrase
85,4,editable_source,1,1,0,0,True,True,True,True,paraphrase>verbatim>summary
86,4,public_webpage,3,1,0,0,True,True,True,True,paraphrase>extraction>paraphrase
87,6,verified_document,4,0,0,0,True,True,True,True,generation>extraction>paraphrase>verbatim>summary
88,2,verified_document,4,3,2,2,True,True,True,True,paraphrase
89,4,public_webpage,3,3,2,2,True,True,True,True,extraction>extraction>summary
90,6,model_memory,1,0,0,0,True,True,True,True,verbatim>summary>verbatim>extraction>extraction
91,1,editable_source,1,4,1,1,True,True,True,True,
92,6,first_party_db,3,0,0,0,True,True,True,True,extraction>generation>generation>generation>verbatim
93,5,public_webpage,3,2,1,1,True,True,True,True,extraction>verbatim>paraphrase>verbatim
94,3,authoritative_api,4,2,0,0,True,True,True,True,generation>paraphrase
95,6,untrusted_tool,1,2,0,0,True,True,True,True,paraphrase>verbatim>summary>verbatim>extraction
96,6,unknown,0,2,0,0,True,True,True,True,generation>generation>extraction>summary>extraction
97,1,unknown,0,4,0,0,True,True,True,True,
98,6,unknown,0,3,0,0,True,True,True,True,extraction>generation>extraction>verbatim>verbatim
99,6,public_webpage,3,0,0,0,True,True,True,True,generation>summary>summary>paraphrase>generation
100,4,untrusted_tool,1,4,1,1,True,True,True,True,verbatim>extraction>extraction
101,2,verified_document,4,1,1,1,True,True,True,True,extraction
102,4,verified_document,4,2,0,0,True,True,True,True,generation>summary>summary
103,4,public_webpage,3,0,0,0,True,True,True,True,verbatim>verbatim>paraphrase
104,4,untrusted_tool,1,1,0,0,True,True,True,True,extraction>extraction>generation
105,5,untrusted_tool,1,0,0,0,True,True,True,True,paraphrase>generation>verbatim>paraphrase
106,5,model_memory,1,4,0,0,True,True,True,True,paraphrase>summary>extraction>extraction
107,5,unknown,0,1,0,0,True,True,True,True,generation>verbatim>generation>summary
108,3,authoritative_api,4,2,1,1,True,True,True,True,paraphrase>verbatim
109,6,first_party_db,3,1,0,0,True,True,True,True,summary>summary>verbatim>extraction>paraphrase
110,6,untrusted_tool,1,3,0,0,True,True,True,True,verbatim>generation>verbatim>generation>summary
111,3,authoritative_api,4,4,2,2,True,True,True,True,summary>paraphrase
112,4,unknown,0,4,0,0,True,True,True,True,generation>extraction>summary
113,5,unknown,0,0,0,0,True,True,True,True,extraction>generation>generation>extraction
114,4,editable_source,1,1,0,0,True,True,True,True,generation>extraction>generation
115,5,first_party_db,3,2,0,0,True,True,True,True,extraction>verbatim>generation>summary
116,2,model_memory,1,1,1,1,True,True,True,True,extraction
117,2,verified_document,4,4,0,0,True,True,True,True,generation
118,1,unknown,0,0,0,0,True,True,True,True,
