chain_id,true_class,declared_class,true_ceiling,asserted,hops,final_warrant,decision,class_lie,transformation_lie,midchain_origin,exceeds_true_ceiling
0,authoritative_api,authoritative_api,4,3,3,3,accept,False,False,False,False
1,model_memory,model_memory,1,0,3,0,quarantine,False,False,True,False
2,authoritative_api,authoritative_api,4,4,5,0,quarantine,False,False,True,False
3,unknown,unknown,0,3,6,0,quarantine,False,False,True,False
4,verified_document,verified_document,4,1,4,0,quarantine,False,True,False,False
5,unknown,unknown,0,4,5,0,quarantine,False,True,True,False
6,model_memory,model_memory,1,0,4,0,quarantine,False,False,True,False
7,authoritative_api,authoritative_api,4,1,4,0,quarantine,False,False,False,False
8,model_memory,model_memory,1,2,5,0,quarantine,False,False,True,False
9,first_party_db,first_party_db,3,3,2,2,down_weight,False,False,False,False
10,editable_source,editable_source,1,3,6,0,quarantine,False,False,True,False
11,authoritative_api,authoritative_api,4,1,5,0,quarantine,False,False,True,False
12,model_memory,model_memory,1,2,4,0,quarantine,False,False,True,False
13,authoritative_api,authoritative_api,4,2,4,0,quarantine,False,True,False,False
14,model_memory,model_memory,1,4,1,1,down_weight,False,False,False,False
15,editable_source,editable_source,1,0,5,0,quarantine,False,False,True,False
16,first_party_db,first_party_db,3,3,3,0,quarantine,False,False,False,False
17,unknown,unknown,0,3,5,0,quarantine,False,True,True,False
18,editable_source,editable_source,1,4,3,0,quarantine,False,True,False,False
19,untrusted_tool,untrusted_tool,1,0,6,0,quarantine,False,False,True,False
20,first_party_db,first_party_db,3,4,3,0,quarantine,False,True,True,False
21,public_webpage,public_webpage,3,4,1,3,accept,False,False,False,False
22,first_party_db,first_party_db,3,1,1,1,down_weight,False,False,False,False
23,verified_document,verified_document,4,4,4,0,quarantine,False,True,True,False
24,unknown,unknown,0,1,3,0,quarantine,False,False,False,False
25,editable_source,editable_source,1,3,1,1,down_weight,False,False,False,False
26,model_memory,model_memory,1,1,2,0,quarantine,False,False,True,False
27,editable_source,editable_source,1,2,6,0,quarantine,False,False,True,False
28,editable_source,editable_source,1,1,3,0,quarantine,False,True,True,False
29,verified_document,verified_document,4,4,4,0,quarantine,False,False,False,False
30,public_webpage,public_webpage,3,3,4,0,quarantine,False,True,False,False
31,untrusted_tool,untrusted_tool,1,4,6,0,quarantine,False,True,True,False
32,authoritative_api,authoritative_api,4,1,4,0,quarantine,False,False,True,False
33,first_party_db,first_party_db,3,2,3,0,quarantine,False,False,True,False
34,editable_source,editable_source,1,3,1,1,down_weight,False,False,False,False
35,verified_document,verified_document,4,0,3,0,quarantine,False,True,True,False
36,authoritative_api,authoritative_api,4,4,1,4,accept,False,False,False,False
37,model_memory,model_memory,1,2,4,0,quarantine,False,False,True,False
38,public_webpage,public_webpage,3,3,4,1,down_weight,False,False,True,False
39,authoritative_api,authoritative_api,4,1,4,1,down_weight,False,False,False,False
40,verified_document,verified_document,4,0,4,0,quarantine,False,False,False,False
41,first_party_db,first_party_db,3,2,4,0,quarantine,False,True,True,False
42,public_webpage,public_webpage,3,4,1,3,accept,False,False,False,False
43,model_memory,model_memory,1,2,1,1,down_weight,False,False,False,False
44,editable_source,editable_source,1,1,2,0,quarantine,False,True,False,False
45,untrusted_tool,untrusted_tool,1,3,5,0,quarantine,False,True,False,False
46,authoritative_api,authoritative_api,4,4,2,0,quarantine,False,False,False,False
47,authoritative_api,authoritative_api,4,4,5,0,quarantine,False,True,True,False
48,unknown,unknown,0,1,5,0,quarantine,False,False,True,False
49,editable_source,editable_source,1,0,6,0,quarantine,False,False,True,False
50,model_memory,model_memory,1,0,6,0,quarantine,False,True,False,False
51,untrusted_tool,untrusted_tool,1,2,4,0,quarantine,False,False,True,False
52,untrusted_tool,untrusted_tool,1,3,6,0,quarantine,False,True,True,False
53,editable_source,editable_source,1,1,2,0,quarantine,False,False,False,False
54,first_party_db,first_party_db,3,2,2,0,quarantine,False,True,False,False
55,public_webpage,public_webpage,3,3,2,0,quarantine,False,True,False,False
56,authoritative_api,authoritative_api,4,0,4,0,quarantine,False,False,True,False
57,verified_document,verified_document,4,2,5,0,quarantine,False,False,True,False
58,public_webpage,public_webpage,3,3,1,3,accept,False,False,False,False
59,editable_source,editable_source,1,4,5,0,quarantine,False,False,True,False
60,untrusted_tool,untrusted_tool,1,2,6,0,quarantine,False,False,True,False
61,first_party_db,first_party_db,3,1,3,0,quarantine,False,True,False,False
62,verified_document,verified_document,4,4,2,3,accept,False,False,False,False
63,editable_source,editable_source,1,1,3,0,quarantine,False,False,False,False
64,unknown,unknown,0,1,4,0,quarantine,False,False,False,False
65,authoritative_api,authoritative_api,4,4,5,0,quarantine,False,False,True,False
66,untrusted_tool,untrusted_tool,1,3,5,0,quarantine,False,False,True,False
67,unknown,unknown,0,2,1,0,quarantine,False,False,False,False
68,verified_document,verified_document,4,0,4,0,quarantine,False,False,True,False
69,untrusted_tool,untrusted_tool,1,3,6,0,quarantine,False,False,True,False
70,untrusted_tool,untrusted_tool,1,3,4,0,quarantine,False,False,True,False
71,untrusted_tool,untrusted_tool,1,2,6,0,quarantine,False,True,True,False
72,public_webpage,public_webpage,3,0,3,0,quarantine,False,False,True,False
73,first_party_db,first_party_db,3,4,2,3,accept,False,False,False,False
74,authoritative_api,authoritative_api,4,2,6,0,quarantine,False,True,True,False
75,verified_document,verified_document,4,0,6,0,quarantine,False,True,True,False
76,unknown,unknown,0,0,2,0,quarantine,False,False,False,False
77,editable_source,editable_source,1,4,3,0,quarantine,False,False,True,False
78,model_memory,model_memory,1,0,6,0,quarantine,False,True,True,False
79,editable_source,editable_source,1,3,2,1,down_weight,False,False,False,False
80,unknown,unknown,0,1,1,0,quarantine,False,False,False,False
81,unknown,unknown,0,0,5,0,quarantine,False,False,True,False
82,untrusted_tool,untrusted_tool,1,2,5,0,quarantine,False,False,True,False
83,unknown,unknown,0,2,5,0,quarantine,False,False,True,False
84,verified_document,verified_document,4,0,2,0,quarantine,False,False,False,False
85,verified_document,verified_document,4,4,4,0,quarantine,False,True,True,False
86,verified_document,verified_document,4,0,2,0,quarantine,False,False,False,False
87,unknown,unknown,0,2,6,0,quarantine,False,True,True,False
88,public_webpage,public_webpage,3,3,6,0,quarantine,False,False,True,False
89,model_memory,model_memory,1,0,1,0,quarantine,False,False,False,False
90,authoritative_api,authoritative_api,4,2,1,2,down_weight,False,False,False,False
91,untrusted_tool,untrusted_tool,1,4,2,0,quarantine,False,False,True,False
92,public_webpage,public_webpage,3,0,5,0,quarantine,False,False,True,False
93,untrusted_tool,untrusted_tool,1,0,4,0,quarantine,False,False,True,False
94,public_webpage,public_webpage,3,4,6,0,quarantine,False,True,True,False
95,authoritative_api,authoritative_api,4,0,5,0,quarantine,False,True,False,False
96,public_webpage,public_webpage,3,0,4,0,quarantine,False,False,True,False
97,verified_document,verified_document,4,4,4,0,quarantine,False,False,True,False
98,verified_document,verified_document,4,3,3,0,quarantine,False,True,True,False
99,untrusted_tool,untrusted_tool,1,1,3,0,quarantine,False,False,True,False
100,model_memory,model_memory,1,0,6,0,quarantine,False,False,True,False
101,public_webpage,public_webpage,3,1,1,1,down_weight,False,False,False,False
102,editable_source,editable_source,1,4,6,0,quarantine,False,False,True,False
103,editable_source,editable_source,1,4,4,0,quarantine,False,True,True,False
104,model_memory,model_memory,1,0,1,0,quarantine,False,False,False,False
105,public_webpage,public_webpage,3,2,5,0,quarantine,False,False,True,False
106,authoritative_api,authoritative_api,4,1,5,0,quarantine,False,False,True,False
107,authoritative_api,authoritative_api,4,1,5,0,quarantine,False,False,True,False
108,authoritative_api,authoritative_api,4,2,3,0,quarantine,False,False,True,False
109,editable_source,editable_source,1,1,4,0,quarantine,False,True,True,False
110,unknown,unknown,0,1,3,0,quarantine,False,False,True,False
111,first_party_db,first_party_db,3,4,4,0,quarantine,False,True,True,False
112,editable_source,editable_source,1,2,3,0,quarantine,False,True,False,False
113,first_party_db,first_party_db,3,4,1,3,accept,False,False,False,False
114,model_memory,model_memory,1,0,1,0,quarantine,False,False,False,False
115,model_memory,model_memory,1,2,6,0,quarantine,False,True,True,False
116,editable_source,editable_source,1,0,1,0,quarantine,False,False,False,False
117,authoritative_api,authoritative_api,4,1,4,0,quarantine,False,False,True,False
118,verified_document,verified_document,4,3,4,0,quarantine,False,True,True,False
119,verified_document,verified_document,4,3,2,0,quarantine,False,True,False,False
120,public_webpage,public_webpage,3,3,4,0,quarantine,False,True,True,False
121,authoritative_api,authoritative_api,4,2,3,0,quarantine,False,False,False,False
122,verified_document,verified_document,4,4,6,1,down_weight,False,False,True,False
123,first_party_db,first_party_db,3,0,1,0,quarantine,False,False,False,False
124,editable_source,editable_source,1,0,2,0,quarantine,False,False,False,False
125,verified_document,verified_document,4,0,1,0,quarantine,False,False,False,False
126,editable_source,editable_source,1,4,3,0,quarantine,False,False,False,False
127,first_party_db,first_party_db,3,1,1,1,down_weight,False,False,False,False
128,verified_document,verified_document,4,4,1,4,accept,False,False,False,False
129,untrusted_tool,untrusted_tool,1,1,1,1,down_weight,False,False,False,False
130,authoritative_api,authoritative_api,4,3,3,0,quarantine,False,False,False,False
131,model_memory,model_memory,1,4,3,0,quarantine,False,True,False,False
132,first_party_db,first_party_db,3,1,1,1,down_weight,False,False,False,False
133,unknown,unknown,0,2,1,0,quarantine,False,False,False,False
134,untrusted_tool,untrusted_tool,1,3,6,0,quarantine,False,False,True,False
135,public_webpage,public_webpage,3,4,1,3,accept,False,False,False,False
136,verified_document,verified_document,4,1,5,0,quarantine,False,False,True,False
137,public_webpage,public_webpage,3,1,3,0,quarantine,False,True,True,False
138,model_memory,model_memory,1,0,6,0,quarantine,False,True,True,False
139,verified_document,verified_document,4,1,2,0,quarantine,False,False,False,False
140,authoritative_api,authoritative_api,4,2,2,1,down_weight,False,False,True,False
141,first_party_db,first_party_db,3,2,1,2,down_weight,False,False,False,False
142,public_webpage,public_webpage,3,0,2,0,quarantine,False,False,True,False
143,editable_source,editable_source,1,0,4,0,quarantine,False,True,False,False
144,authoritative_api,authoritative_api,4,0,2,0,quarantine,False,False,False,False
145,model_memory,model_memory,1,3,6,0,quarantine,False,True,False,False
146,model_memory,model_memory,1,4,2,0,quarantine,False,False,True,False
147,model_memory,model_memory,1,2,2,0,quarantine,False,False,False,False
148,authoritative_api,authoritative_api,4,3,5,0,quarantine,False,True,True,False
149,model_memory,model_memory,1,3,2,0,quarantine,False,False,False,False
150,unknown,unknown,0,0,4,0,quarantine,False,False,False,False
151,public_webpage,public_webpage,3,2,1,2,down_weight,False,False,False,False
152,editable_source,editable_source,1,2,5,0,quarantine,False,True,True,False
153,first_party_db,first_party_db,3,4,2,0,quarantine,False,False,True,False
154,authoritative_api,authoritative_api,4,2,6,0,quarantine,False,True,True,False
155,authoritative_api,authoritative_api,4,0,3,0,quarantine,False,False,True,False
156,first_party_db,first_party_db,3,1,4,0,quarantine,False,False,True,False
157,public_webpage,public_webpage,3,1,2,0,quarantine,False,False,True,False
158,unknown,unknown,0,2,2,0,quarantine,False,False,False,False
159,editable_source,editable_source,1,1,5,0,quarantine,False,True,True,False
160,authoritative_api,authoritative_api,4,4,6,0,quarantine,False,False,True,False
161,first_party_db,first_party_db,3,0,2,0,quarantine,False,False,False,False
162,untrusted_tool,untrusted_tool,1,4,4,0,quarantine,False,False,False,False
163,authoritative_api,authoritative_api,4,0,4,0,quarantine,False,False,True,False
164,model_memory,model_memory,1,2,4,0,quarantine,False,False,True,False
165,public_webpage,public_webpage,3,4,3,0,quarantine,False,False,True,False
166,editable_source,editable_source,1,3,4,0,quarantine,False,False,False,False
167,first_party_db,first_party_db,3,3,6,0,quarantine,False,False,True,False
168,unknown,unknown,0,0,1,0,quarantine,False,False,False,False
169,authoritative_api,authoritative_api,4,3,3,1,down_weight,False,False,True,False
170,editable_source,editable_source,1,2,2,0,quarantine,False,True,False,False
171,public_webpage,public_webpage,3,3,5,0,quarantine,False,True,True,False
172,authoritative_api,authoritative_api,4,0,2,0,quarantine,False,False,False,False
173,public_webpage,public_webpage,3,2,4,0,quarantine,False,False,True,False
174,model_memory,model_memory,1,4,6,0,quarantine,False,False,True,False
175,public_webpage,public_webpage,3,1,4,0,quarantine,False,True,True,False
176,first_party_db,first_party_db,3,3,3,3,accept,False,False,True,False
177,model_memory,model_memory,1,2,5,0,quarantine,False,False,True,False
178,authoritative_api,authoritative_api,4,3,3,0,quarantine,False,False,True,False
179,unknown,unknown,0,4,1,0,quarantine,False,False,False,False
180,verified_document,verified_document,4,3,6,0,quarantine,False,True,True,False
181,unknown,unknown,0,4,2,0,quarantine,False,False,False,False
182,public_webpage,public_webpage,3,2,4,0,quarantine,False,True,True,False
183,model_memory,model_memory,1,0,3,0,quarantine,False,True,False,False
184,public_webpage,public_webpage,3,1,2,0,quarantine,False,False,False,False
185,authoritative_api,authoritative_api,4,1,6,0,quarantine,False,False,True,False
186,untrusted_tool,untrusted_tool,1,0,5,0,quarantine,False,False,True,False
187,model_memory,model_memory,1,3,4,0,quarantine,False,True,True,False
188,editable_source,editable_source,1,2,4,0,quarantine,False,False,True,False
189,authoritative_api,authoritative_api,4,0,4,0,quarantine,False,True,True,False
190,unknown,unknown,0,0,4,0,quarantine,False,False,True,False
191,editable_source,editable_source,1,1,6,0,quarantine,False,True,True,False
192,authoritative_api,authoritative_api,4,1,3,0,quarantine,False,False,False,False
193,authoritative_api,authoritative_api,4,3,3,1,down_weight,False,False,True,False
194,first_party_db,first_party_db,3,4,3,0,quarantine,False,True,False,False
195,unknown,unknown,0,1,4,0,quarantine,False,True,True,False
196,untrusted_tool,untrusted_tool,1,0,4,0,quarantine,False,False,True,False
197,authoritative_api,authoritative_api,4,2,4,0,quarantine,False,True,True,False
198,verified_document,verified_document,4,1,2,1,down_weight,False,False,False,False
199,verified_document,verified_document,4,0,4,0,quarantine,False,False,True,False
200,verified_document,verified_document,4,1,4,0,quarantine,False,True,True,False
201,unknown,unknown,0,3,5,0,quarantine,False,False,True,False
202,authoritative_api,authoritative_api,4,0,3,0,quarantine,False,True,True,False
203,verified_document,verified_document,4,4,6,0,quarantine,False,True,True,False
204,authoritative_api,authoritative_api,4,1,5,0,quarantine,False,False,True,False
205,model_memory,model_memory,1,4,5,0,quarantine,False,False,True,False
206,first_party_db,first_party_db,3,4,4,0,quarantine,False,False,True,False
207,unknown,unknown,0,0,2,0,quarantine,False,False,True,False
208,verified_document,verified_document,4,3,2,2,down_weight,False,False,False,False
209,authoritative_api,authoritative_api,4,3,2,2,down_weight,False,False,False,False
210,untrusted_tool,untrusted_tool,1,4,1,1,down_weight,False,False,False,False
211,unknown,unknown,0,2,3,0,quarantine,False,False,True,False
212,authoritative_api,authoritative_api,4,3,6,0,quarantine,False,True,True,False
213,first_party_db,first_party_db,3,4,4,0,quarantine,False,False,False,False
214,editable_source,editable_source,1,0,1,0,quarantine,False,False,False,False
215,verified_document,verified_document,4,2,2,2,down_weight,False,False,False,False
216,editable_source,editable_source,1,0,4,0,quarantine,False,True,True,False
217,public_webpage,public_webpage,3,3,4,0,quarantine,False,True,True,False
218,first_party_db,first_party_db,3,2,5,0,quarantine,False,False,False,False
219,editable_source,editable_source,1,0,1,0,quarantine,False,False,False,False
220,authoritative_api,authoritative_api,4,3,5,0,quarantine,False,False,True,False
221,model_memory,model_memory,1,1,6,0,quarantine,False,True,True,False
222,authoritative_api,authoritative_api,4,1,6,0,quarantine,False,True,True,False
223,first_party_db,first_party_db,3,2,3,0,quarantine,False,True,False,False
224,untrusted_tool,untrusted_tool,1,3,2,0,quarantine,False,False,False,False
225,untrusted_tool,untrusted_tool,1,2,3,0,quarantine,False,True,True,False
226,first_party_db,first_party_db,3,3,5,0,quarantine,False,False,True,False
227,verified_document,verified_document,4,4,3,0,quarantine,False,False,False,False
228,first_party_db,first_party_db,3,1,2,1,down_weight,False,False,False,False
229,first_party_db,first_party_db,3,1,4,1,down_weight,False,False,True,False
230,first_party_db,first_party_db,3,1,2,0,quarantine,False,True,False,False
231,authoritative_api,authoritative_api,4,2,6,0,quarantine,False,False,True,False
232,public_webpage,public_webpage,3,0,1,0,quarantine,False,False,False,False
233,public_webpage,public_webpage,3,1,6,0,quarantine,False,True,True,False
234,untrusted_tool,untrusted_tool,1,0,4,0,quarantine,False,False,True,False
235,unknown,unknown,0,1,4,0,quarantine,False,False,False,False
236,first_party_db,first_party_db,3,1,2,1,down_weight,False,False,False,False
237,unknown,unknown,0,4,2,0,quarantine,False,False,True,False
238,editable_source,editable_source,1,2,3,0,quarantine,False,True,True,False
239,model_memory,model_memory,1,3,5,0,quarantine,False,False,True,False
240,verified_document,verified_document,4,1,2,0,quarantine,False,False,False,False
241,untrusted_tool,untrusted_tool,1,1,6,0,quarantine,False,True,True,False
242,first_party_db,first_party_db,3,2,5,0,quarantine,False,True,True,False
243,first_party_db,first_party_db,3,0,3,0,quarantine,False,False,True,False
244,unknown,unknown,0,0,3,0,quarantine,False,True,False,False
