operation,is_control,penalty,arity,inputs,min_input,output,delta,monotone
verbatim,False,0,1,0,0,0,0,True
verbatim,False,0,1,1,1,1,0,True
verbatim,False,0,1,2,2,2,0,True
verbatim,False,0,1,3,3,3,0,True
verbatim,False,0,1,4,4,4,0,True
extraction,False,0,1,0,0,0,0,True
extraction,False,0,1,1,1,1,0,True
extraction,False,0,1,2,2,2,0,True
extraction,False,0,1,3,3,3,0,True
extraction,False,0,1,4,4,4,0,True
summary,False,1,1,0,0,0,0,True
summary,False,1,1,1,1,0,-1,True
summary,False,1,1,2,2,1,-1,True
summary,False,1,1,3,3,2,-1,True
summary,False,1,1,4,4,3,-1,True
paraphrase,False,1,1,0,0,0,0,True
paraphrase,False,1,1,1,1,0,-1,True
paraphrase,False,1,1,2,2,1,-1,True
paraphrase,False,1,1,3,3,2,-1,True
paraphrase,False,1,1,4,4,3,-1,True
generation,False,4,1,0,0,0,0,True
generation,False,4,1,1,1,0,-1,True
generation,False,4,1,2,2,0,-2,True
generation,False,4,1,3,3,0,-3,True
generation,False,4,1,4,4,0,-4,True
re_sign,False,0,1,0,0,0,0,True
re_sign,False,0,1,1,1,1,0,True
re_sign,False,0,1,2,2,2,0,True
re_sign,False,0,1,3,3,3,0,True
re_sign,False,0,1,4,4,4,0,True
split,False,0,1,0,0,0,0,True
split,False,0,1,1,1,1,0,True
split,False,0,1,2,2,2,0,True
split,False,0,1,3,3,3,0,True
split,False,0,1,4,4,4,0,True
composition,False,1,2,0|0,0,0,0,True
composition,False,1,2,0|1,0,0,0,True
composition,False,1,2,0|2,0,0,0,True
composition,False,1,2,0|3,0,0,0,True
composition,False,1,2,0|4,0,0,0,True
composition,False,1,2,1|0,0,0,0,True
composition,False,1,2,1|1,1,0,-1,True
composition,False,1,2,1|2,1,0,-1,True
composition,False,1,2,1|3,1,0,-1,True
composition,False,1,2,1|4,1,0,-1,True
composition,False,1,2,2|0,0,0,0,True
composition,False,1,2,2|1,1,0,-1,True
composition,False,1,2,2|2,2,1,-1,True
composition,False,1,2,2|3,2,1,-1,True
composition,False,1,2,2|4,2,1,-1,True
composition,False,1,2,3|0,0,0,0,True
composition,False,1,2,3|1,1,0,-1,True
composition,False,1,2,3|2,2,1,-1,True
composition,False,1,2,3|3,3,2,-1,True
composition,False,1,2,3|4,3,2,-1,True
composition,False,1,2,4|0,0,0,0,True
composition,False,1,2,4|1,1,0,-1,True
composition,False,1,2,4|2,2,1,-1,True
composition,False,1,2,4|3,3,2,-1,True
composition,False,1,2,4|4,4,3,-1,True
composition,False,1,3,0|0|0,0,0,0,True
composition,False,1,3,0|0|1,0,0,0,True
composition,False,1,3,0|0|2,0,0,0,True
composition,False,1,3,0|0|3,0,0,0,True
